id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
2522b,Mathematics,"यदि u=(\log_2 x)^2-6\log_2 x + 12 जहाँ x एक वास्तविक संख्या है तो समीकरण x^u = 256 का: 
10-2^{-x}) = 0 के मूलों का योग है :

The image contains mathematical expressions and equations. The first expression defines \(u\) as a function of \(\log_2 x\), specifically \(u = (\log_2 x)^2 - 6 \log_2 x + 12\). The second equation is \(x^u = 256\).",0.0,0.0,0.0,0.0,0.0
25965,Mathematics,"Solve x and y:  \(4^{\sin x} + 3^{\frac{1}{\cos y}} = 11\), \(5 \cdot 16^{\sin x} - 2 \cdot 3^{\frac{1}{\cos y}} = 2\)

The image contains two mathematical equations involving trigonometric functions and exponential terms. The first equation is \(4^{\sin x} + 3^{\frac{1}{\cos y}} = 11\), and the second equation is \(5 	ilda 16^{\sin x} - 2 \cdot 3^{\frac{1}{\cos y}} = 2\). The task is to solve for \(x\) and \(y\).",0.0,0.0,0.0,0.0,0.0
274fc,Mathematics,Two mutually perpendicular straight lines through the origin from an isosceles triangle with the line 2x+y=5. Then the area of the triangle is:,0.0,0.0,0.0,0.0,0.0
279cf,Chemistry,"K, for the reaction NH₄I(s) ⇌ NH₃(g) + HI(g) is 1/4 at 300 K. Above equilibrium is established by taking 4 moles of NH₄I(s) in 100 litre container, then moles of NH₄I(s) left in the container at equilibrium is [Take R = 1/12 Lt. atm mol⁻¹ K⁻¹]

The image shows a chemical equilibrium problem. The reaction is the reversible decomposition of solid ammonium iodide (NH4I(s)) into gaseous ammonia (NH3(g)) and gaseous hydrogen iodide (HI(g)). The equilibrium constant Kp for the reaction is given as 1/4 at 300 K. The problem states that 4 moles of NH4I(s) are initially placed in a 100-liter container. The question asks to find the number of moles of NH4I(s) remaining in the container at equilibrium. The value of the gas constant R is given as 1/12 L atm mol⁻¹ K⁻¹.",0.0,0.0,0.0,0.0,0.0
1795d,Chemistry,"log(Kp/Kc) + log(RT) = 0 is a relationship for the reaction:

The image presents a multiple-choice question related to chemical equilibrium. The question asks which reaction corresponds to the relationship log(Kp/Kc) + log(RT) = 0. The multiple-choice options are: (A) PCl5 in equilibrium with PCl3 + Cl2, (B) 2SO2 + O2 in equilibrium with 2SO3, (C) H2 + I2 in equilibrium with 2HI, and (D) N2 + 3H2 in equilibrium with 2NH3.",0.0,0.0,0.0,0.0,0.0
17a4c,Physics,"A plane body has perpendicular axes OY and OX marked on it and is acted on by following forces: 5P in the direction OY, 4P in the direction OX, 10P in the direction OA where A is the point (3a, 4a), 15P in the direction AB where B is the point (-a, a). Express each force in the unit vector form & calculate the magnitude & direction of sum of the vector of these forces.

The diagram shows a two-dimensional coordinate system with the X-axis horizontal and the Y-axis vertical. The origin is labeled as 'O'.",0.0,0.0,0.0,0.0,0.0
17d71,Mathematics,The diagonals of a parallelogram PQRS are along the lines x + 3y = 4 and 6x − 2y = 7. Then PQRS must be a:,0.0,0.0,0.0,0.0,0.0
dfefe,Mathematics,"The vertex of a right angle of a right angled triangle lies on the straight line \(2x + y - 10 = 0\) and the two other vertices, at points \((2, -3)\) and \((4, 1)\) then the area of triangle in sq. units is:",0.0,0.0,0.0,0.0,0.0
e054b,Mathematics,The number of natual numbers from 1000 to 9999 (both inclusive) that do not have all 4 different digits is:,0.0,0.0,0.0,0.0,0.0
e16b3,Physics,An electron in a H-atom in its ground state absorbs 1.5 times as much energy as the minimum required for its escape (13.6 eV) from the atom. What is wavelength of the emitted electron.,0.0,0.0,0.0,0.0,0.0
e1c7a,Physics,"तीन एकसमान आवेशों जिनका आवेश q तथा द्रव्यमान m है को एक समबाहु त्रिभुज जिसकी भुजा की लम्बाई x है पर रखा गया है तथा इनको विराम से छोड़ा जाता है तो किसी भी आवेशित कण की चाल क्या होगी जब ये आवेश एक-दूसरे से 2x, दूरी पर हो।",0.0,0.0,0.0,0.0,0.0
e1f80,Physics,"एक समान आवेशित समाक्षीय वलयो के लिए दोनों वलय के केन्द्र के मध्य विभावन्तर ज्ञात कीजिए

The diagram shows two rings. The ring on the left has a charge Q and a radius R, with its center labeled as point A. The ring on the right has a charge 2Q and a radius 2R, with its center labeled as point B. The distance between the centers of the two rings, A and B, is 2R, as indicated by a dashed line.",0.0,0.0,0.0,0.0,0.0
e28b8,Mathematics,"प्रश्न 18 से 20 के लिये अनुच्छेद
माना कि A व्यक्त होगा समीकरण $\frac{1}{5-4\log_4 x} + \frac{4}{1+\log_4 x} = 3$ के मूलो के योग से।
B व्यक्त होगा m व n के गुणनफल से जहाँ $2^m = 3$ व $3^n = 4$.
C व्यक्त होगा समीकरण $\log_{3x}(\frac{3}{x}) + (\log_3 x)^2 = 1$ के पूर्णाक मूलो से

The image contains mathematical equations and expressions. The first equation is a sum of two fractions equal to 3, where the fractions involve logarithmic terms with base 4. Specifically, it is given as  $\frac{1}{5-4\log_4 x} + \frac{4}{1+\log_4 x} = 3$. The second equation is $2^m = 3$ and $3^n = 4$. The third equation is $\log_{3x}(\frac{3}{x}) + (\log_3 x)^2 = 1$.",0.0,0.0,0.0,0.0,0.0
e35ac,Physics,"A calorie is a unit of heat or energy and it equals about 4.2 J where 1 J = 1 kg m² s-2. Suppose we employ system of units in which the unit of mass equals α kg, the unit of length equals β m, the unit of time is Show that a calorie has a magnitude 4.2 α¯¹ β-2 γ² in terms of the new units.",0.0,0.0,0.0,0.0,0.0
e39a6,Chemistry,"उपरोक्त अभिक्रिया क्रम पर विचार करें, विरचित उत्पाद ""A"" तथा उत्पाद ""B"" क्रमशः हैं :

The image depicts a two-step chemical reaction sequence. In the first step, a molecule with a bromo group (Br) and an aldehyde group (CHO) on adjacent carbons reacts with excess EtOH (ethanol) in the presence of dry HCl gas to yield a major product ""A"". In the second step, ""A"" reacts with 'BuO-K (potassium tert-butoxide) to yield a major product ""B"". The question asks to determine the structures of the major products A and B.",0.0,0.0,0.0,0.0,0.0
28da0,Chemistry,एक मोल फेरस आक्सीलेट के अम्लीय विलयन के पूर्णतया अभिकृत होने के लिये आवश्यक KMnO4 के मोल होगें।,0.0,0.0,0.0,0.0,0.0
28e45,Mathematics,"Find the curve for which area bounded by the curve, the co-ordinate axes and a variable ordinate is equal to the length of the corresponding arc. Given that the curve passes through (0,1).",0.0,0.0,0.0,0.0,0.0
29354,Mathematics,"माना वृत्त C बिंदुओं A(2,-1) तथा B(3, 4) से होकर जाता है। रेखाखंड AB, वृत्त C का व्यास नहीं है। यदि C की त्रिज्या r है तथा इसका केन्द्र वृत्त (x-5)²+(y-1)² = 13/2 पर है, तो r² बराबर है:

The image contains a mathematical expression related to a circle. The general form of the circle equation is given as (x-5)^2 + (y-1)^2 = 13/2. The question asks to find the value of r^2, where r is the radius of the circle.",0.0,0.0,0.0,0.0,0.0
2c32b,Mathematics,"Find the coefficient of x
 in the expression of
(x + 3)^{n-1} + (x + 3)^{n-2}(x + 2) + (x + 3)^{n-3}(x + 2)^2 + ..... + (x + 2)^{n-1}.

The image shows a mathematical expression. The expression is a sum of terms, where each term is a product of two factors. The first factor in each term is of the form (x+3) raised to the power of (n-k), where k starts from 1 and increases by 1 in each subsequent term. The second factor in each term is of the form (x+2) raised to the power of (k-1). The expression starts with (x+3)^(n-1) and ends with (x+2)^(n-1).",0.0,0.0,0.0,0.0,0.0
2cfaa,Chemistry,"1.14 cm⁻¹ सेल स्थिरांक की चालकता सेल जिसमें 0.001 MKCI है, का 298 K पर प्रतिरोध 1500 Ω है। 0.001 M KCI विलयन की 298K पर मोलर चालकता, Scm²mol⁻¹ में, है ________। (निकटतम पूर्णांक में) [27 August Evening; 2021]",0.0,0.0,0.0,0.0,0.0
2fd44,Chemistry,"Compound 'X' is:

The image shows a reaction scheme starting with an unknown compound X. Compound X reacts in two different pathways. In the first pathway, X reacts with O3, Zn/H2O to produce 3-oxobutanal only. In the second pathway, X reacts with H2/Ni to produce compound Y. Compound Y then reacts with Cl2/hv to produce four monochloro structural isomeric products.",0.0,0.0,0.0,0.0,0.0
1f477,Mathematics,$\int_{\frac{1}{2}}^{\frac{3}{2}} \left\{\frac{1}{2}(|x-3|+|1-x|-4)\right\} dx$ equals : (Where { } denotes the fractional part function),0.0,0.0,0.0,0.0,0.0
da255,Mathematics,"lim
x→0 sin 4x / 1 - √(1-x)",0.0,0.0,0.0,0.0,0.0
db21a,Chemistry,One mole of N₂O₄(g) at 300 K is kept in a closed container under one atomosphere. It is heated to 600 K when 20% by mass of N₂O₄(g) decomposes to NO₂(g). The resultant pressure is,0.0,0.0,0.0,0.0,0.0
dba83,Chemistry,"At a certain temperature, the following reactions have the equilibrium constant as shown below:
S(s) + O2(g) <=> SO2(g); Kc1 = 5 x 10^52
2S(s) + 3O2(g) <=> 2SO3(g); Kc2 = 10^29
What is the equilibrium constant Kc for the reaction at the same temperature ?
2SO2(g) + O2(g) <=> 2SO3(g)

The image presents a chemistry problem involving chemical equilibrium. It provides two equilibrium reactions with their respective equilibrium constants, Kc1 and Kc2, at a certain temperature. The first reaction shows the equilibrium between solid sulfur (S) and gaseous oxygen (O2) to form gaseous sulfur dioxide (SO2), with Kc1 = 5 x 10^52. The second reaction shows the equilibrium between solid sulfur (S) and gaseous oxygen (O2) to form gaseous sulfur trioxide (SO3), with Kc2 = 10^29. The problem asks to find the equilibrium constant Kc for the reaction where gaseous sulfur dioxide (SO2) and gaseous oxygen (O2) react to form gaseous sulfur trioxide (SO3) at the same temperature.",0.0,0.0,0.0,0.0,0.0
dc92b,Mathematics,"यदि $\alpha$ तथा $\beta$ समीकरण $ax^2 + bx + c = 0$ के मूल हों, तो $\left(\frac{1}{a\alpha + b} + \frac{1}{a\beta + b}\right)$ का मान होगा-",0.0,-1.0,0.0,1.0,0.0
dced1,Physics,"Let \(\rho(r) = -\frac{Q}{\pi R^4}r\) be the charge density distribution for a solid sphere of radius R and total charge Q. For point 'p' inside the sphere at distance \(r_1\) from the centre of the sphere, the magnitude of electric field is

The image shows a physics question about the charge density distribution for a solid sphere. The charge density \(\rho(r)\) is given by \(\rho(r) = -\frac{Q}{\pi R^4}r\), where \(Q\) is the total charge and \(R\) is the radius of the sphere. The question asks for the magnitude of the electric field at a point 'p' inside the sphere at a distance \(r_1\) from the center.",0.0,0.0,0.0,0.0,0.0
ddba4,Mathematics,"युग्म (a, b) के मानों की संख्या जिनके लिए समीकरण a(x + a)^2 + b(x^2 - 3x - 2) + x + 1 = 0, x में एक सर्वसमिका है

The image contains a mathematical expression: a(x + a)^2 + b(x^2 - 3x - 2) + x + 1 = 0. The task is to find the number of pairs (a, b) for which the equation is an identity in x.",0.0,0.0,0.0,0.0,0.0
de427,Mathematics,"If \(AB = 0\), \(BC = I\), prove that \((A + B)^2 (A + C)^2 = I\).",0.0,0.0,0.0,0.0,0.0
301d2,Chemistry,"A zinc copper battery is constructed as follows.
Zn(s) |Zn2+ (0.1 M)||Cu2+(2.5 M)|Cu(s)|
Each half cell contains 1 litre solution and NH4NO3 is used as salt bridge to maintain electrical neutrality. Mass of each electrode is 200 gm.
If 9.65 A current has flowed from the cell for 10 hr. then mass of Zn electrode after 10 hr will be :
[Zn = 65.38 u]",0.0,0.0,0.0,0.0,0.0
30b6f,Chemistry,"For the reaction N2O4(g) ⇌ 2NO2(g), if percentage dissociation of N2O4 are 20%, 45%, 65% & 80%, then the sequence of observed vapour densities will be :

The image shows a chemical equilibrium reaction where N2O4(g) is in equilibrium with 2NO2(g). The question asks about the sequence of observed vapor densities when the percentage dissociation of N2O4 is 20%, 45%, 65%, and 80%.",0.0,0.0,0.0,0.0,0.0
